content,content_stem,score,target
May i know why my order on 25 May and payment comfirmed still hasn't shipped out? It's 10 days already.,may  know  order  25  may  payment  comfirmed  still  shipped  out?  10  days  already.,4,0
Service now not as effective as previous. Tried to contact agency sometimes can be frustrating,service  effective  previous.  tried  contact  agency  sometimes  frustrating,3,1
My shoppee app keep flashing the shoppee logo and the app cant load. Dont know whats causing this problem.. uninstall and reinstall many times but no use.,keep  flashing  logo  cant  load.  dont  know  whats  causing  problem..  uninstall  reinstall  many  times  use.,4,0
"Recently just sign up, manage to find the things I need to buy instead of from other sites. The prices are good, item is definitely faster and hope the items are reliable. Great buying site for my needs. Thanks Edit review after few incidents, wasn't very happy with the way refund was done, have missing delivery that never happened to me with other sites, lastly very skeptical to use shopee now. A little disappointed so minus 1 star.","recently  sign  up,  manage  find  things  need  buy  instead  sites.  prices  good,  definitely  faster  hope  reliable.  great  buying  site  needs.  thanks  edit  review  incidents,  happy  way  refund  done,  missing  delivery  never  happened  sites,  lastly  skeptical  use  now.  little  disappointed  minus  1  star.",4,0
"No choice but to downgrade to 1 star. This app is so unstable now, keeps kicking users out of live streams. I say ""users"" because other users have also made similar comments about being kicked out in the chats for live streams. Often too, buttons are not responsive when tapped, as other reviews here have pointed out. I fear updating the app will only result in more instability. I fear also getting a copy-and-paste reply from Shopee. Can only sigh reading the template replies here.","choice  downgrade  1  star.  unstable  now,  keeps  kicking  users  live  streams.  say  ""users""  users  also  made  similar  comments  kicked  chats  live  streams.  often  too,  buttons  responsive  tapped,  reviews  pointed  out.  fear  updating  result  instability.  fear  also  getting  copy-and-paste  reply  shopee.  sigh  reading  template  replies  here.",1,1
I have difficulty trying to check out my purchases. It keeps saying 'errors in the network. Try again.' this is happening for about a month out of blue.,difficulty  trying  check  purchases.  keeps  saying  'errors  network.  try  again.'  happening  month  blue.,4,0
"Participated in shopee event and lost first time user voucher!!! Referred by my friend n ver happy to get referral code of $10. Just as I wanted to use it, its gone because of stupid APP does not recognised first time purchase VS event participation that required you to pay!!!!!! Spoke to live chat team but does not understand problem, let alone help to resolve. The usual way to shut us up. Can't do much because system showed u hv made first purchase. See n reach our policy n regulations.","participated  event  lost  first  time  user  voucher!!!  referred  friend  n  ver  happy  get  referral  code  $10.  wanted  use  it,  gone  stupid  recognised  first  time  purchase  vs  event  participation  required  pay!!!!!!  spoke  live  chat  team  understand  problem,  let  alone  help  resolve.  usual  way  shut  us  up.  can't  much  system  showed  u  hv  made  first  purchase.  see  n  reach  policy  n  regulations.",1,1
I'm still waiting for shopee to give me an answer why money was already transferred from my bank account to shopee pay but it's showing as failed??! Where is my $1100 now? Please resolve this asap!,i'm  still  waiting  give  answer  money  already  transferred  bank  account  pay  showing  failed??!  $1100  now?  please  resolve  asap!,1,1
Goof,goof,5,0
Very good,good,5,0
Shopee app malaysia mana??,malaysia  mana??,1,1
It's so good 🤣,good  rolling_on_the_floor_laughing,4,0
