username,content,score,thumbs_up_count,at,reply_content,replied_at,sort_order,app_id,target
Derek Monin,"The search function used to be very good and would give relevant items for your search. Now, it is cluttered up with unrelated items that are barely relevant and not what I'm looking for. Shipping used to not require vouchers, but now they require vouchers and only give out limited amounts once in a blue moon. Vouchers are limited and require you to pay by Shopeepay. Shopee went from great to terrible in the last two years I've been using it.",1,8,2023-01-10 03:46:16,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2023-01-10 09:18:07,most_relevant,com.shopee.sg,1
Rei Asuka,"The app is workng fine. The issue i had was the shopee pet game. 1) Half the time, it will get stuck at 99% loading. 2) 20% of the time, it will not be able to connect to server after you completeed the music minigame and have to replay the minigame again. 3) Worst of all is the soccer minigame. Even if the goalie is at one end of the goal, it can still block the ball at the other end, making it totally based on luck. Sometimes, it doesn't even need to touch the ball to block it.",1,257,2022-08-14 06:11:42,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-08-14 09:21:57,most_relevant,com.shopee.sg,1
Alicia,"Vouchers are all restricted to shopeepay only. The platform went from great to terrible. Not to mention, now they are charging shipping fee on everything. It used to be free or if you want it to be fast you pay extra for it which was reasonable. Now I pay for all shipment fees yet the sellers ship them out the very last minute??? And now the standard fee is $1, not even a few months ago it was 0.60¢ for standard, and $1 express PER VENDOR.",1,261,2022-09-13 16:17:53,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-09-13 17:50:04,most_relevant,com.shopee.sg,1
Ericka Empire,"Completely garbage app. Lags. every. single. time. When I try clicking on an item, nothing happens. I had to continuously tap and tap, and after taking an eternity, the item loads. But only partly. Because only the picture and title show up while the bottom is totally blank. I can't even click back since that lags as well. I tried closing the app and reopening it, but after a while, the same issue pops up. I tried uninstalling and reinstalling the app, nope, same issue still pops up.",1,8,2022-09-02 20:45:59,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-09-02 21:22:25,most_relevant,com.shopee.sg,1
Starry Night,"The app worked completely fine until one day I couldn't see my cart, my vouchers, my coins, or even check on my items that are currently shipping. I keep getting the same error message saying that there was a problem/error with the server. I've been using the app for quite some time and I am very dissapointed in the lack of fixing done to the app (the website works fine in my experience).",1,308,2022-07-22 22:39:16,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-07-22 23:02:31,most_relevant,com.shopee.sg,1
A Google user,"Payment page is such a disaster. Full of verification processes, which results in errors and bugs. Wasted alot of time doing the verifications. The scary thing is that I have already input my credit card details for the purchase and then click the order button, which resulted in an error page. Not sure if my purchase has been confirmed and/or my credit card has been deducted. Alot of insecurities during this shopping platform.",1,12,2019-10-29 23:45:11,"Hey,

Thank you for the review.

We are so sorry that you have had to come through challenges while using our app.

As we would like to look into your feedback further, we really appreciate if you could fill up this form at https://help.shopee.sg/sg/s/contactus

so that besides improving our service, we will be able to make you happy",2019-10-30 09:45:11,most_relevant,com.shopee.sg,1
Alexander 1995,"The issue of this rated 🌟 with genuine consideration is that whenever we have to scroll down to the desired item that we're planning on purchasing, it always automatically resets/reverts back to the top of the pile in the Shopping cart Which is a Hassel having to manually scroll down back to the desired item that we're planning on purchasing... Although it does good for our fingers exercising :)",1,2,2020-08-13 20:37:40,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect. As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2020-08-13 22:16:39,most_relevant,com.shopee.sg,1
Jaymes Chiang,Latest version of the app keeps crashing whenever we scroll down on the daily discover page. Just got worse whereby we are unable to view any products. It keeps running into an error message whenever we tap into any product details. Makes it impossible to add things to cart. Might have to permanently move to another shopping platform if this doesn't get resolved soon.,1,17,2022-03-02 00:10:18,,,most_relevant,com.shopee.sg,1
A Google user,"Be very careful when you use this platform. Many unethical sellers. Some sellers make you wait for a few weeks without telling you that they are not sending the products. Some will include some defective ones when you order many pieces and it's difficult to ask for refund since it's not exactly damaged. Even at check out, sometimes the platform doesn't allow you to use certain promos or discounts which you agreed with sellers.",1,7,2018-12-06 14:43:45,"Hi Royis! We're so sorry for the unpleasant experience! Your feedback matters to us and we'll be forwarding this to the relevant team to improve on our app and seller's performance. If you have further feedback, please do not hesitate to share it with us over here: https://shp.ee/dk4eq79. Also, if you require any assistance in the future, feel f...",2018-12-06 22:16:34,most_relevant,com.shopee.sg,1
Kyle Ng Heng Khai,"After recent updates last month, the app seems to lose the phone back button functionality sometimes. The top corner back arrow still works. Other apps seem to be unaffected by this. In such situations, force closing the app restores that functionality. Please look into this as some new bug might have been introduced in the recent updates. Thanks.",1,71,2022-01-06 08:34:11,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-01-06 08:37:35,most_relevant,com.shopee.sg,1
